XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
10/30/2025 11:40,3973.36,3973.82,3969.91,3973.21,-15,0.00,
10/30/2025 11:35,3972.45,3976.55,3971.18,3973.35,90,0.02,
10/30/2025 11:30,3966.29,3972.46,3965.43,3972.32,603,0.15,
10/30/2025 11:25,3971.11,3971.11,3965.2,3966.34,-477,-0.12,
10/30/2025 11:20,3971.78,3972.65,3964.33,3970.88,-90,-0.02,
10/30/2025 11:15,3977.18,3977.59,3971.38,3971.48,-570,-0.14,
10/30/2025 11:10,3978.81,3982.01,3976.6,3976.6,-221,-0.06,
10/30/2025 11:05,3982.63,3983.13,3978.69,3978.69,-394,-0.10,
10/30/2025 11:00,3983.95,3984.87,3981.4,3982.9,-105,-0.03,
10/30/2025 10:55,3985.9,3986.42,3982.17,3983.84,-206,-0.05,
10/30/2025 10:50,3982,3986.86,3981.28,3985.89,389,0.10,
10/30/2025 10:45,3982.18,3984.22,3979.65,3982.05,-13,0.00,
10/30/2025 10:40,3981.46,3983.97,3979.59,3982.2,74,0.02,
10/30/2025 10:35,3979.22,3981.52,3973.94,3981.19,197,0.05,
10/30/2025 10:30,3987.03,3988.3,3979.47,3979.47,-756,-0.19,
10/30/2025 10:25,3986.13,3990.57,3985.68,3986.73,60,0.02,
10/30/2025 10:20,3993.47,3993.47,3982.42,3986.23,-724,-0.18,
10/30/2025 10:15,3998.22,3999.04,3993.64,3993.67,-455,-0.11,
10/30/2025 10:10,3997.17,3999.27,3996.64,3998.24,107,0.03,
10/30/2025 10:05,3998.24,3999.92,3997.25,3997.69,-55,-0.01,
10/30/2025 10:00,3998.63,4001.16,3996.09,3998.37,-26,-0.01,
10/30/2025 09:55,3997.87,4000.72,3996.53,3998.89,102,0.03,
10/30/2025 09:50,3995.71,4000.5,3992.46,3997.78,207,0.05,
10/30/2025 09:45,4005.78,4006.33,3995.45,3995.59,-1019,-0.26,
10/30/2025 09:40,4005.67,4006.04,4000.12,4005.95,28,0.01,
10/30/2025 09:35,4002.17,4007.07,4001.83,4005.63,346,0.09,
